Draw Date,Winning Numbers,Multiplier,double_play_winning_numbers
07/20/2026,11 17 25 37 49 10,2,04 26 28 44 67 20
07/21/2026,18 56 62 65 67 18,2,16 27 57 58 59 07
07/19/2026,12 32 45 50 58 02,2,06 11 15 32 58 18
07/18/2026,03 16 33 38 68 02,2,05 06 34 38 39 07
07/17/2026,13 31 54 57 65 23,3,04 18 29 47 53 16
07/16/2026,10 21 58 61 64 17,2,05 18 38 56 67 07
07/15/2026,08 15 25 49 65 22,4,13 34 39 45 56 02
07/14/2026,05 08 27 29 63 13,2,19 21 45 46 65 20
07/13/2026,04 26 66 67 69 09,2,03 04 19 21 58 08
07-12-2026,06 37 54 55 64 10,3,04 23 31 32 57 23
07-11-2026,05 09 35 54 63 07,3,14 29 46 55 59 16
07-10-2026,14 20 59 60 61 25,2,06 33 54 63 66 18
